"exp","set_id","cond","A_level","B_level","role","context","sentence","critical_region","cq_question","cq_options","cq_answer","list","norm_status","note"
"F","11","f","","","filler","화자는 입사 동기와 이야기하고 있다. 두 사람은 서로 말을 놓는 사이다.","나 오늘 너무 바빠서 아직 안 점심 먹었어.","안 점심","","","","","부적격 — 기대 1–3","유형: 부정 부사 위치 오류('안'이 목적어 앞에 옴, '점심 안 먹었어'가 맞음); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","12","f","","","filler","화자는 친구와 이야기하고 있다. 이야기 속 인물은 화자의 할아버지다.","할아버지가 다음 주에 병원에서 건강 검진을 받으셨어.","받으셨어","","","","","부적격 — 기대 1–3","유형: 시제 부조화(미래 시간 부사 '다음 주에' + 과거 '-었-'); 경어는 정확(높임 대상 할아버지에 -시-) — 경어 문장에도 경어와 무관한 오류가 있음을 보이는 문항 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","13","f","","","filler","화자는 대학 친구와 카페에서 이야기하고 있다.","나 요즘 퇴근하고 헬스장에 다니기 시작했어.","","","","","","적격 — 기대 6–7","주의점검:적격; 친구에게 해체 평서문, 오류 없음; 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","14","f","","","filler","화자는 입사 동기와 회사 식당에서 점심을 먹고 있다. 두 사람은 서로 말을 놓는 사이다.","오늘 된장찌개는 좀 싱거운 것 같아.","","화자는 지금 어디에 있는가?","회사 식당|학교 식당|분식집|카페","회사 식당","","적격 — 기대 6–7","주의점검:적격; 말을 놓는 동기에게 해체, 오류 없음; 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","15","f","","","filler","화자는 편의점 직원이고, 듣는 사람은 물건을 계산하러 온 손님이다.","봉투에 같이 넣어 드릴까요?","","","","","","적격 — 기대 6–7","주의점검:적격; 손님에게 해요체 + 객체 높임 '드리다' 정확 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","16","f","","","filler","화자는 친구와 이야기하고 있다. 이야기 속 인물은 화자의 외할머니다.","외할머니가 올해도 김장을 혼자 다 하셨어.","","","","","","적격 — 기대 6–7","주의점검:적격; 높임 대상 외할머니에 -시- 정확, 친구에게 해체(구어에서 주격 '가'는 자연스러움) | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","17","f","","","filler","화자는 경영학과 3학년 학생이다. 듣는 사람은 화자가 듣는 전공 수업의 담당 교수이고, 두 사람은 연구실에서 이야기하고 있다.","교수님, 기말 과제 주제를 조금 바꿔도 될까요?","","듣는 사람은 화자에게 어떤 사람인가?","전공 수업 담당 교수|학과 조교|같은 과 선배|교양 수업 강사","전공 수업 담당 교수","","적격 — 기대 6–7","주의점검:적격; 교수에게 해요체, 화자 행위라 -시- 불필요, 오류 없음 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","18","f","","","filler","화자는 남동생과 함께 저녁을 차리고 있다. 이야기 속 인물은 두 사람의 어머니다.","엄마 오시기 전에 우리가 설거지까지 해 놓자.","","","","","","적격 — 기대 6–7","주의점검:적격; 어머니에 -시- 정확, 동생에게 해체 청유문 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","19","f","","","filler","화자는 은행 창구 직원이고, 듣는 사람은 통장을 만들러 온 손님이다.","신분증 좀 보여 주시겠어요?","","손님은 무엇을 하러 왔는가?","카드를 해지하러|통장을 만들러|돈을 찾으러|대출을 상담하러","통장을 만들러","","적격 — 기대 5–7","적격; 손님에게 해요체 + 청자 행위에 -시- 정확 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","20","f","","","filler","화자는 비 오는 저녁에 친구와 전화로 이야기하고 있다.","비도 오는데 오늘은 그냥 집에서 시켜 먹자.","","","","","","적격 — 기대 5–7","적격; 친구에게 해체 청유문, 구어답게 목적어 생략; 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","21","f","","","filler","화자는 입사 1년 차 사원이다. 듣는 사람은 화자의 팀장이고, 두 사람은 점심시간이 끝날 무렵 엘리베이터 앞에서 마주쳤다.","팀장님, 점심 맛있게 드셨어요?","","","","","","적격 — 기대 5–7","적격; 상사에게 해요체 + 높임 어휘 '드시다' 정확 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","22","f","","","filler","화자는 초등학교 교사이고, 듣는 사람은 화자의 반 학생인 민지다. 민지는 3학년이다.","민지야, 오늘 받아쓰기 정말 잘했네.","","민지는 몇 학년인가?","1학년|2학년|3학년|4학년","3학년","","적격 — 기대 5–7","적격; 교사가 어린 학생에게 해체, 오류 없음 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","23","f","","","filler","화자는 친구와 이야기하고 있다. 이야기 속 인물은 화자의 고등학교 3학년 때 담임교사다.","고3 때 담임 선생님이 올해 교장 선생님이 되셨어.","","","","","","적격 — 기대 5–7","적격; 은사에 -시- 정확, 친구에게 해체 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","24","f","","","filler","화자는 아파트 관리사무소 직원이고, 주민들에게 안내 방송을 하고 있다.","내일 오전 열 시부터 두 시간 동안 단수가 있을 예정입니다.","","","","","","적격 — 기대 5–7","적격; 공적 안내의 합쇼체, 오류 없음 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","25","f","","","filler","화자는 친구와 여행 계획을 세우고 있다.","이번 여행에서는 사진을 많이 만들어 오자.","만들어","","","","","덜 선호 — 기대 2–4","유형: 연어 어색('사진을 찍다'가 자연스러움); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","26","f","","","filler","화자는 동아리 회의에서 같은 학년 부원들에게 말하고 있다.","이번 행사는 우리 동아리한테 큰 의미를 가진다고 생각해.","가진다고","화자는 어디에서 말하고 있는가?","전공 수업|동아리 회의|회사 회의|가족 모임","동아리 회의","","덜 선호 — 기대 3–5","유형: 번역투 연어('의미를 가지다'; '의미가 크다'가 자연스러움); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","27","f","","","filler","화자는 룸메이트와 냉장고를 정리하고 있다.","반찬이 너무 많이 남아서 곧 부패할 것 같아.","부패할","","","","","덜 선호 — 기대 3–5","유형: 격식 어휘 부조화(일상 대화에 한자어 '부패하다'; '상하다'가 자연스러움); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","28","f","","","filler","화자는 친구에게 동네 맛집을 소개하고 있다.","여기가 이 동네에서 가장 최고로 맛있는 집이야.","가장 최고로","","","","","덜 선호 — 기대 3–5","유형: 의미 중복('가장' + '최고'); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","29","f","","","filler","화자는 회사원이다. 듣는 사람은 같은 팀의 입사 동기로, 두 사람은 아직 서로 말을 놓지 않았다.","그 안건은 다음 회의에서 다시 논의되어질 거예요.","논의되어질","듣는 사람은 화자에게 어떤 사람인가?","팀장|거래처 직원|다른 팀 후배|같은 팀 입사 동기","같은 팀 입사 동기","","비표준 — 기대 3–5","유형: 이중 피동('-되다' + '-어지다'), 공문·회의 말투에서 흔함; 경어는 정확(동기에게 해요체) | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","30","f","","","filler","화자는 배달 앱을 보면서 동생에게 말하고 있다.","먹고 싶은 거 아무거나 시키던지 해.","시키던지","화자는 누구에게 말하고 있는가?","친구|룸메이트|어머니|동생","동생","","비표준 — 기대 3–5","유형: 맞춤법 혼동(선택의 '-든지'를 '-던지'로 씀), 글에서 흔한 오류; 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음 | 검수의견: '-던지/-든지' 혼동은 글로 읽을 때 알아채지 못하는 참여자가 많아 기대(3–5)보다 높게 평정될 수 있음 — 예비 조사에서 확인"
"F","31","f","","","filler","화자는 친구와 내일 약속 시간을 정하고 있다.","내일은 절대 늦으면 안 되.","안 되","","","","","비표준 — 기대 3–5","유형: 맞춤법 오류('돼'를 '되'로 씀); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","32","f","","","filler","화자는 친한 친구와 전화로 주말 약속을 잡고 있다.","그럼 토요일 두 시에 역 앞에서의 만남으로 하자.","만남으로","화자는 친구와 어떻게 이야기하고 있는가?","메신저로|직접 만나서|전화로|편지로","전화로","","덜 선호 — 기대 2–4","유형: 번역투 명사화('-에서의', '만남으로 하다'; '역 앞에서 만나자'가 자연스러움); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","33","f","","","filler","화자는 친구와 어제 간 식당 이야기를 하고 있다.","진짜 맛있었어, 어제 먹은 그 파스타.","맛있었어,","","","","","덜 선호 — 기대 4–6","유형: 구어 어순(주제 성분을 문장 끝으로 뺌), 입말에서는 흔하나 글로 보면 덜 자연스러움; 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음 | 검수의견: 구어 후치(오른쪽 전위)는 대화 장면에서 매우 자연스러워 기대(4–6)의 상단이나 그 위로 평정될 수 있음"
"F","34","f","","","filler","화자는 친구와 진로 이야기를 하고 있다.","내 꿈은 나중에 초등학교 선생님이 되고 싶어.","되고 싶어","","","","","덜 선호 — 기대 3–5","유형: 주술 호응 오류('꿈은 … 되는 거야'가 맞음), 구어에서 흔함; 경어 무관('선생님'은 직업명) | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","35","f","","","filler","화자는 친구에게 새로 생긴 식당 이야기를 하고 있다.","거기 맛은 괜찮은데 가격이 좀 비싼 부분이 있어.","부분이","","","","","덜 선호 — 기대 3–5","유형: 군더더기 표현('-ㄴ 부분이 있다'; '좀 비싸'가 간결함); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","36","f","","","filler","화자는 모임에 올 거냐는 친구의 물음에 답하고 있다.","내가 안 간다고 안 한 적은 없잖아.","안 간다고 안 한","","","","","덜 선호 — 기대 3–5","유형: 이중 부정으로 뜻이 흐려짐(문법 자체는 어긋나지 않음); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","37","f","","","filler","화자는 룸메이트와 청소 당번을 정하고 있다.","이번 주 화장실 청소는 내가 할께.","할께","","","","","비표준 — 기대 3–5","유형: 맞춤법 오류('할게'를 '할께'로 씀); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","38","f","","","filler","화자는 대학교 4학년이다. 듣는 사람은 화자가 들은 전공 수업의 담당 교수이고, 두 사람은 종강 날 복도에서 이야기하고 있다.","교수님, 저에게 있어서 이번 학기 수업은 정말 의미 있었어요.","있어서","두 사람은 어디에서 이야기하고 있는가?","연구실|강의실|학생 식당|복도","복도","","덜 선호 — 기대 3–5","유형: 번역투('-에게 있어서'; '저한테는'이 자연스러움); 경어는 정확(교수에게 해요체·'저') | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","39","f","","","filler","화자는 친구와 이사할 동네를 고르며 이야기하고 있다.","그 동네에 대해서는 내 생각이 너랑 좀 틀려.","틀려","","","","","비표준 — 기대 3–5","유형: 어휘 오용('다르다' 자리에 '틀리다'), 구어에서 흔함; 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","40","f","","","filler","화자는 길을 묻고 있다. 듣는 사람은 버스 정류장에서 처음 만난 칠십 대 남성이다.","할아버지, 방금 손가락으로 가르치신 건물이 우체국이에요?","가르치신","화자는 어디에서 길을 묻고 있는가?","버스 정류장|지하철역|우체국|편의점 앞","버스 정류장","","비표준 — 기대 3–5","유형: 어휘 오용(손가락으로 짚는 뜻의 '가리키다' 자리에 '가르치다'); 경어는 정확(어른의 행위에 -시-, 해요체) | 검수수정: sentence '할아버지, 이 지도에서 우체국이 어디인지 손가락으로 좀 가르쳐 주세요.' → '할아버지, 방금 손가락으로 가르치신 건물이 우체국이에요?', critical_region '가르쳐' → '가르치신' (국립국어원 우리말샘 '가르치다'에 '상대편이 아직 모르는 일을 알도록 일러 주다' 뜻이 있어 '우체국이 어디인지 가르쳐 주세요'는 규범에 맞는 말로 읽힘 — 의도한 오류가 성립하지 않아 기대 3–5가 맞지 않았음. '가르치신 건물'은 목적어가 가리켜진 대상이라 '가리키다' 뜻만 가능하므로 오류가 분명해짐. 이전 문장의 원래 note: 어휘 오용·경어 정확(어른에게 해요체·'주세요')) | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","41","f","","","filler","화자는 동아리 회장이고, 같은 동아리 친구와 이야기하고 있다.","회장으로써 할 수 있는 건 다 했어.","회장으로써","","","","","비표준 — 기대 3–5","유형: 조사 혼동(자격의 '-로서'를 수단의 '-로써'로 씀); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음 | 검수의견: '-로써/-로서' 혼동은 알아채지 못하는 참여자가 많아 기대(3–5)보다 높게 평정될 수 있음 — 예비 조사에서 확인"
"F","42","f","","","filler","화자는 친구에게 소개팅을 주선하려고 한다.","내가 괜찮은 사람 한 명 소개시켜 줄게.","소개시켜","","","","","비표준 — 기대 4–6","유형: 불필요한 사동('소개해 줄게'가 규범형), 구어에서 매우 흔함; 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","43","f","","","filler","화자는 입사 동기와 퇴근길에 이야기하고 있다. 두 사람은 서로 말을 놓는 사이다.","이번 프로젝트는 데드라인이 너무 타이트해서 좀 스트레스야.","타이트해서","","","","","덜 선호 — 기대 4–6","유형: 외래어 혼용(직장 구어에서 흔함); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","44","f","","","filler","화자는 친구와 공원에 산책을 나와 있다.","오늘 날씨가 좋은 것 같은 것 같아.","같은 것 같아","","","","","덜 선호 — 기대 2–4","유형: 추측 표현 중복('-ㄴ 것 같다'를 두 번 씀); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","45","f","","","filler","화자는 같은 과 친구와 학교 앞 카페에서 이야기하고 있다.","나 어제 도서관에서 서적을 몇 권 대여했어.","서적을 대여했어","화자는 지금 어디에 있는가?","도서관|강의실|학생 식당|학교 앞 카페","학교 앞 카페","","덜 선호 — 기대 3–5","유형: 격식 어휘 부조화('책을 빌렸어'가 자연스러움); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","46","f","","","filler","화자는 오늘 저녁에 만나자는 친구의 제안을 거절하고 있다.","오늘은 못 가, 왜냐하면 내일 아침에 시험이 있어.","왜냐하면","","","","","덜 선호 — 기대 3–5","유형: 호응 누락('왜냐하면 … 있거든/있기 때문이야'), 구어에서 흔함; 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","47","f","","","filler","화자는 외출하려는 동생에게 말하고 있다.","밖에 비가 오므로 우산을 꼭 챙겨.","오므로","","","","","덜 선호 — 기대 3–5","유형: 문체 혼용(구어 명령문에 문어 연결 어미 '-므로'; 화계 문제 아님); 경어 무관 | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
"F","48","f","","","filler","화자는 친구와 이야기하고 있다. 이야기 속 인물은 화자의 같은 과 친구다.","어제 그녀가 나한테 강의 노트를 빌려 달라고 했어.","그녀가","이야기 속 인물은 화자에게 어떤 사람인가?","여동생|고등학교 후배|같은 과 친구|직장 동료","같은 과 친구","","덜 선호 — 기대 3–5","유형: 번역투 대명사(입말에서 '그녀'는 어색함, '걔'가 자연스러움); 경어 무관(동갑 친구) | P4-03 검수: 기대 대역 유지, 의도하지 않은 경어 위반 없음"
