"exp","set_id","cond","A_level","B_level","role","context","sentence","critical_region","cq_question","cq_options","cq_answer","list","norm_status","note"
"E3","03","c","A2","B1","target","화자는 대학교 3학년 학생이다. 지금 동갑 친구에게 자기 사촌 동생 이야기를 하고 있다. 사촌 동생은 올해 대학 입시를 치른 고등학교 3학년이다.","사촌 동생이 이번 입시에서 경영학과에 최종 합격하셨어.","합격하셨어","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(사촌 동생)|둘 다|아무도 없다","이야기 속 인물(사촌 동생)","4","부적격(비높임 주어에 -시-)","청자 유형: 교수·교사(전공 교수) / 주어 유형: 사촌 동생 / 서술어: 합격하다 / 근거: 주어(사촌 동생)는 화자보다 아래라 -시-의 허가자가 없음 | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","03","d","A2","B2","target","화자는 대학교 3학년 학생이다. 지금 동갑 친구에게 자기 사촌 동생 이야기를 하고 있다. 사촌 동생은 올해 대학 입시를 치른 고등학교 3학년이다.","사촌 동생이 이번 입시에서 경영학과에 최종 합격했어.","합격했어","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(사촌 동생)|둘 다|아무도 없다","아무도 없다","1","적격(주어에 -시- 없음, 동갑 청자에게 해체)","청자 유형: 교수·교사(전공 교수) / 주어 유형: 사촌 동생 / 서술어: 합격하다 / 근거: -시- 없음, 동갑 친구에게 해체 | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","04","a","A1","B1","target","화자는 대학교 4학년 학생이다. 지금 학과 교수에게 자기 동아리 후배 이야기를 하고 있다. 후배는 화자보다 세 살 어린 1학년 학생이다.","후배가 이번 동아리 발표 자료를 처음부터 혼자 만드셨어요.","만드셨어요","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(후배)|둘 다|아무도 없다","둘 다","1","부적격(비높임 주어에 -시-)","청자 유형: 교수·교사(학과 교수) / 주어 유형: 후배 / 서술어: 만들다 / 근거: 주어(후배)는 화자·청자 모두보다 아래라 -시-의 허가자가 없음. -요(청자 높임)와 별개 | 검수수정: context '학과 교수님께' → '학과 교수에게' (P4 규격 '맥락 안에서 -시-나 높임 어휘로 관계를 암시하지 않는다' 위반 — A1 맥락에만 높임 형태 -님·-께가 들어가 청자 지위와 높임 문자열 단서가 겹침. E1·E2 맥락과 같은 서술 방식으로 맞춤) | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","04","b","A1","B2","target","화자는 대학교 4학년 학생이다. 지금 학과 교수에게 자기 동아리 후배 이야기를 하고 있다. 후배는 화자보다 세 살 어린 1학년 학생이다.","후배가 이번 동아리 발표 자료를 처음부터 혼자 만들었어요.","만들었어요","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(후배)|둘 다|아무도 없다","듣는 사람","2","적격(주어에 -시- 없음, 해요체로 청자 높임)","청자 유형: 교수·교사(학과 교수) / 주어 유형: 후배 / 서술어: 만들다 / 근거: 주어에 -시- 없음, 청자 높임은 -요로만 실현 | 검수수정: context '학과 교수님께' → '학과 교수에게' (P4 규격 '맥락 안에서 -시-나 높임 어휘로 관계를 암시하지 않는다' 위반 — A1 맥락에만 높임 형태 -님·-께가 들어가 청자 지위와 높임 문자열 단서가 겹침. E1·E2 맥락과 같은 서술 방식으로 맞춤) | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","04","c","A2","B1","target","화자는 대학교 4학년 학생이다. 지금 동갑 친구에게 자기 동아리 후배 이야기를 하고 있다. 후배는 화자보다 세 살 어린 1학년 학생이다.","후배가 이번 동아리 발표 자료를 처음부터 혼자 만드셨어.","만드셨어","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(후배)|둘 다|아무도 없다","이야기 속 인물(후배)","3","부적격(비높임 주어에 -시-)","청자 유형: 교수·교사(학과 교수) / 주어 유형: 후배 / 서술어: 만들다 / 근거: 주어(후배)는 화자보다 아래라 -시-의 허가자가 없음 | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","04","d","A2","B2","target","화자는 대학교 4학년 학생이다. 지금 동갑 친구에게 자기 동아리 후배 이야기를 하고 있다. 후배는 화자보다 세 살 어린 1학년 학생이다.","후배가 이번 동아리 발표 자료를 처음부터 혼자 만들었어.","만들었어","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(후배)|둘 다|아무도 없다","아무도 없다","4","적격(주어에 -시- 없음, 동갑 청자에게 해체)","청자 유형: 교수·교사(학과 교수) / 주어 유형: 후배 / 서술어: 만들다 / 근거: -시- 없음, 동갑 친구에게 해체 | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","05","a","A1","B1","target","화자는 고등학교 3학년 학생이다. 지금 담임 교사에게 자기 동생 이야기를 하고 있다. 동생은 초등학교 4학년이다.","동생이 어제 학교 수영 대회에서 은메달을 따셨대요.","따셨대요","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(동생)|둘 다|아무도 없다","둘 다","4","부적격(비높임 주어에 -시-)","청자 유형: 교수·교사(담임 교사) / 주어 유형: 동생 / 서술어: 따다 / 근거: 주어(동생)는 화자·청자 모두보다 아래라 -시-의 허가자가 없음. -요(청자 높임)와 별개 | 검수수정: context '담임 선생님께' → '담임 교사에게' (P4 규격 '맥락 안에서 -시-나 높임 어휘로 관계를 암시하지 않는다' 위반 — A1 맥락에만 높임 형태 -님·-께가 들어가 청자 지위와 높임 문자열 단서가 겹침. E1·E2 맥락과 같은 서술 방식으로 맞춤) | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님 | 검수표시: 초등학생 동생의 은메달 — c에서 장난스러운 격상 여지 약함"
"E3","05","b","A1","B2","target","화자는 고등학교 3학년 학생이다. 지금 담임 교사에게 자기 동생 이야기를 하고 있다. 동생은 초등학교 4학년이다.","동생이 어제 학교 수영 대회에서 은메달을 땄대요.","땄대요","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(동생)|둘 다|아무도 없다","듣는 사람","1","적격(주어에 -시- 없음, 해요체로 청자 높임)","청자 유형: 교수·교사(담임 교사) / 주어 유형: 동생 / 서술어: 따다 / 근거: 주어에 -시- 없음, 청자 높임은 -요로만 실현 | 검수수정: context '담임 선생님께' → '담임 교사에게' (P4 규격 '맥락 안에서 -시-나 높임 어휘로 관계를 암시하지 않는다' 위반 — A1 맥락에만 높임 형태 -님·-께가 들어가 청자 지위와 높임 문자열 단서가 겹침. E1·E2 맥락과 같은 서술 방식으로 맞춤) | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님 | 검수표시: 초등학생 동생의 은메달 — c에서 장난스러운 격상 여지 약함"
"E3","05","c","A2","B1","target","화자는 고등학교 3학년 학생이다. 지금 동갑 친구에게 자기 동생 이야기를 하고 있다. 동생은 초등학교 4학년이다.","동생이 어제 학교 수영 대회에서 은메달을 따셨대.","따셨대","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(동생)|둘 다|아무도 없다","이야기 속 인물(동생)","2","부적격(비높임 주어에 -시-)","청자 유형: 교수·교사(담임 교사) / 주어 유형: 동생 / 서술어: 따다 / 근거: 주어(동생)는 화자보다 아래라 -시-의 허가자가 없음 | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님 | 검수표시: 초등학생 동생의 은메달 — c에서 장난스러운 격상 여지 약함"
"E3","05","d","A2","B2","target","화자는 고등학교 3학년 학생이다. 지금 동갑 친구에게 자기 동생 이야기를 하고 있다. 동생은 초등학교 4학년이다.","동생이 어제 학교 수영 대회에서 은메달을 땄대.","땄대","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(동생)|둘 다|아무도 없다","아무도 없다","3","적격(주어에 -시- 없음, 동갑 청자에게 해체)","청자 유형: 교수·교사(담임 교사) / 주어 유형: 동생 / 서술어: 따다 / 근거: -시- 없음, 동갑 친구에게 해체 | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님 | 검수표시: 초등학생 동생의 은메달 — c에서 장난스러운 격상 여지 약함"
"E3","06","a","A1","B1","target","화자는 고등학교 2학년 학생이다. 지금 방송반 담당 교사에게 자기 방송반 후배 이야기를 하고 있다. 후배는 1학년 학생이다.","후배가 이번 축제 영상을 주말 내내 직접 편집하셨어요.","편집하셨어요","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(후배)|둘 다|아무도 없다","둘 다","3","부적격(비높임 주어에 -시-)","청자 유형: 교수·교사(방송반 담당 교사) / 주어 유형: 후배 / 서술어: 편집하다 / 근거: 주어(후배)는 화자·청자 모두보다 아래라 -시-의 허가자가 없음. -요(청자 높임)와 별개 | 검수수정: context '담당 선생님께' → '담당 교사에게' (P4 규격 '맥락 안에서 -시-나 높임 어휘로 관계를 암시하지 않는다' 위반 — A1 맥락에만 높임 형태 -님·-께가 들어가 청자 지위와 높임 문자열 단서가 겹침. E1·E2 맥락과 같은 서술 방식으로 맞춤) | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","06","b","A1","B2","target","화자는 고등학교 2학년 학생이다. 지금 방송반 담당 교사에게 자기 방송반 후배 이야기를 하고 있다. 후배는 1학년 학생이다.","후배가 이번 축제 영상을 주말 내내 직접 편집했어요.","편집했어요","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(후배)|둘 다|아무도 없다","듣는 사람","4","적격(주어에 -시- 없음, 해요체로 청자 높임)","청자 유형: 교수·교사(방송반 담당 교사) / 주어 유형: 후배 / 서술어: 편집하다 / 근거: 주어에 -시- 없음, 청자 높임은 -요로만 실현 | 검수수정: context '담당 선생님께' → '담당 교사에게' (P4 규격 '맥락 안에서 -시-나 높임 어휘로 관계를 암시하지 않는다' 위반 — A1 맥락에만 높임 형태 -님·-께가 들어가 청자 지위와 높임 문자열 단서가 겹침. E1·E2 맥락과 같은 서술 방식으로 맞춤) | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","06","c","A2","B1","target","화자는 고등학교 2학년 학생이다. 지금 동갑 친구에게 자기 방송반 후배 이야기를 하고 있다. 후배는 1학년 학생이다.","후배가 이번 축제 영상을 주말 내내 직접 편집하셨어.","편집하셨어","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(후배)|둘 다|아무도 없다","이야기 속 인물(후배)","1","부적격(비높임 주어에 -시-)","청자 유형: 교수·교사(방송반 담당 교사) / 주어 유형: 후배 / 서술어: 편집하다 / 근거: 주어(후배)는 화자보다 아래라 -시-의 허가자가 없음 | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","06","d","A2","B2","target","화자는 고등학교 2학년 학생이다. 지금 동갑 친구에게 자기 방송반 후배 이야기를 하고 있다. 후배는 1학년 학생이다.","후배가 이번 축제 영상을 주말 내내 직접 편집했어.","편집했어","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(후배)|둘 다|아무도 없다","아무도 없다","2","적격(주어에 -시- 없음, 동갑 청자에게 해체)","청자 유형: 교수·교사(방송반 담당 교사) / 주어 유형: 후배 / 서술어: 편집하다 / 근거: -시- 없음, 동갑 친구에게 해체 | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","07","a","A1","B1","target","화자는 서른두 살 회사원이다. 지금 중학교 때 담임 교사에게 자기 조카 이야기를 하고 있다. 조카는 누나의 아들로 여섯 살이다.","조카가 요즘 한글을 읽는 재미에 푹 빠지셨어요.","빠지셨어요","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(조카)|둘 다|아무도 없다","둘 다","2","부적격(비높임 주어에 -시-)","청자 유형: 교수·교사(중학교 때 담임 교사) / 주어 유형: 조카 / 서술어: 빠지다 / 근거: 주어(조카)는 화자·청자 모두보다 아래라 -시-의 허가자가 없음. -요(청자 높임)와 별개 | 검수수정: context '담임 선생님께' → '담임 교사에게' (P4 규격 '맥락 안에서 -시-나 높임 어휘로 관계를 암시하지 않는다' 위반 — A1 맥락에만 높임 형태 -님·-께가 들어가 청자 지위와 높임 문자열 단서가 겹침. E1·E2 맥락과 같은 서술 방식으로 맞춤) | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","07","b","A1","B2","target","화자는 서른두 살 회사원이다. 지금 중학교 때 담임 교사에게 자기 조카 이야기를 하고 있다. 조카는 누나의 아들로 여섯 살이다.","조카가 요즘 한글을 읽는 재미에 푹 빠졌어요.","빠졌어요","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(조카)|둘 다|아무도 없다","듣는 사람","3","적격(주어에 -시- 없음, 해요체로 청자 높임)","청자 유형: 교수·교사(중학교 때 담임 교사) / 주어 유형: 조카 / 서술어: 빠지다 / 근거: 주어에 -시- 없음, 청자 높임은 -요로만 실현 | 검수수정: context '담임 선생님께' → '담임 교사에게' (P4 규격 '맥락 안에서 -시-나 높임 어휘로 관계를 암시하지 않는다' 위반 — A1 맥락에만 높임 형태 -님·-께가 들어가 청자 지위와 높임 문자열 단서가 겹침. E1·E2 맥락과 같은 서술 방식으로 맞춤) | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","07","c","A2","B1","target","화자는 서른두 살 회사원이다. 지금 동갑 친구에게 자기 조카 이야기를 하고 있다. 조카는 누나의 아들로 여섯 살이다.","조카가 요즘 한글을 읽는 재미에 푹 빠지셨어.","빠지셨어","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(조카)|둘 다|아무도 없다","이야기 속 인물(조카)","4","부적격(비높임 주어에 -시-)","청자 유형: 교수·교사(중학교 때 담임 교사) / 주어 유형: 조카 / 서술어: 빠지다 / 근거: 주어(조카)는 화자보다 아래라 -시-의 허가자가 없음 | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","07","d","A2","B2","target","화자는 서른두 살 회사원이다. 지금 동갑 친구에게 자기 조카 이야기를 하고 있다. 조카는 누나의 아들로 여섯 살이다.","조카가 요즘 한글을 읽는 재미에 푹 빠졌어.","빠졌어","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(조카)|둘 다|아무도 없다","아무도 없다","1","적격(주어에 -시- 없음, 동갑 청자에게 해체)","청자 유형: 교수·교사(중학교 때 담임 교사) / 주어 유형: 조카 / 서술어: 빠지다 / 근거: -시- 없음, 동갑 친구에게 해체 | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님"
"E3","08","a","A1","B1","target","화자는 고등학교 1학년 학생이다. 지금 국어 교사에게 자기 동생 이야기를 하고 있다. 동생은 초등학교 6학년이다.","동생이 이번 방학 동안 도서관에서 책을 서른 권이나 읽으셨어요.","읽으셨어요","이 말에서 화자가 높여서 대하고 있는 사람은 누구입니까?","듣는 사람|이야기 속 인물(동생)|둘 다|아무도 없다","둘 다","1","부적격(비높임 주어에 -시-)","청자 유형: 교수·교사(국어 교사) / 주어 유형: 동생 / 서술어: 읽다 / 근거: 주어(동생)는 화자·청자 모두보다 아래라 -시-의 허가자가 없음. -요(청자 높임)와 별개 | 검수수정: context '국어 선생님께' → '국어 교사에게' (P4 규격 '맥락 안에서 -시-나 높임 어휘로 관계를 암시하지 않는다' 위반 — A1 맥락에만 높임 형태 -님·-께가 들어가 청자 지위와 높임 문자열 단서가 겹침. E1·E2 맥락과 같은 서술 방식으로 맞춤) | P4-03 검수: 판정 유지(a 부적격·b 적격·c 부적격·d 적격). 주어가 화자·청자 모두보다 아래라 압존법 상황 아님 | 인간검수필요: 초등학생 동생이 책을 '서른 권이나' 읽은 일은 장난스러운 격상으로 읽힐 여지가 있음. 농담 높임은 친구 청자(c)에서 더 자연스러워 c만 올라갈 수 있음 — c 수용성 확인"
