"exp","set_id","cond","A_level","B_level","role","context","sentence","critical_region","cq_question","cq_options","cq_answer","list","norm_status","note"
"E4","06","b1","","B1","violation","화자는 같은 과 친구와 이야기하고 있다. 이야기 속 인물은 화자가 속한 사진 동아리의 후배로, 화자보다 두 살 어리다.","동아리 후배가 오늘 동아리방 열쇠를 잃어버리셨어.","잃어버리셨어","","","","","부적격(형태)","B1 형태 위반; 지시체 동아리 후배(두 살 아래), 청자 친구, 해체. 위반 요소 -시-(잃어버리셨어→잃어버렸어). 근거: 화자보다 어린 지시체는 주체 높임 대상이 아니므로 -시- 부적격. 서술어는 보충법 높임 어휘가 없는 규칙 동사"
"E4","06","b1","","B1","control","화자는 같은 과 친구와 이야기하고 있다. 이야기 속 인물은 화자가 속한 사진 동아리의 후배로, 화자보다 두 살 어리다.","동아리 후배가 오늘 동아리방 열쇠를 잃어버렸어.","잃어버렸어","","","","","적격","B1 적격 짝; 위반 행에서 -시-만 뺌(잃어버렸어). 해체·어린 지시체·-시- 없음으로 규범에 맞음"
"E4","07","b1","","B1","violation","화자는 대학생이고, 중학생 한 명에게 수학 과외를 하고 있다. 화자는 지금 친구와 이야기하고 있다. 이야기 속 인물은 그 과외 학생으로, 중학교 2학년이다.","내가 과외하는 학생이 지난주에 안경을 새로 맞추셨어.","맞추셨어","","","","","부적격(형태)","B1 형태 위반; 지시체 과외 학생(중2), 청자 친구, 해체. 위반 요소 -시-(맞추셨어→맞췄어). 근거: 화자보다 어린 지시체는 주체 높임 대상이 아니므로 -시- 부적격. 서술어는 보충법 높임 어휘가 없는 규칙 동사"
"E4","07","b1","","B1","control","화자는 대학생이고, 중학생 한 명에게 수학 과외를 하고 있다. 화자는 지금 친구와 이야기하고 있다. 이야기 속 인물은 그 과외 학생으로, 중학교 2학년이다.","내가 과외하는 학생이 지난주에 안경을 새로 맞췄어.","맞췄어","","","","","적격","B1 적격 짝; 위반 행에서 -시-만 뺌(맞췄어). 해체·어린 지시체·-시- 없음으로 규범에 맞음"
"E4","08","b1","","B1","violation","화자는 자기 집에 놀러 온 친구와 이야기하고 있다. 이야기 속 인물은 화자가 사는 아파트 옆집의 여섯 살 아이다.","옆집 꼬마가 어제 복도에 킥보드를 세워 두셨어.","두셨어","","","","","부적격(형태)","B1 형태 위반; 지시체 옆집 아이(6세), 청자 친구, 해체. 위반 요소 -시-(두셨어→뒀어). 근거: 화자보다 어린 지시체는 주체 높임 대상이 아니므로 -시- 부적격. 서술어는 보충법 높임 어휘가 없는 규칙 동사"
"E4","08","b1","","B1","control","화자는 자기 집에 놀러 온 친구와 이야기하고 있다. 이야기 속 인물은 화자가 사는 아파트 옆집의 여섯 살 아이다.","옆집 꼬마가 어제 복도에 킥보드를 세워 뒀어.","뒀어","","","","","적격","B1 적격 짝; 위반 행에서 -시-만 뺌(뒀어). 해체·어린 지시체·-시- 없음으로 규범에 맞음"
"E4","09","b2","","B2","violation","화자는 대학원 석사과정 학생이다. 듣는 사람은 화자의 지도교수이고, 두 사람은 연구실에서 학위 논문 일정을 이야기하고 있다.","교수님, 논문 초안은 금요일까지 메일로 보낼게.","보낼게","","","","","부적격(화용: 청자 높임 누락)","B2 화용 위반; 청자 지도교수(교수), 해체. 위반 요소 종결 어미 화계(해체 보낼게→해요체 보낼게요). 근거: 청자가 화자보다 확실히 윗사람이고 친족·친구가 아니므로 해체는 청자 높임 누락. 문장 형태 자체는 적격이며 청자가 주어가 아니어서 -시- 필요 없음. 인칭 대명사를 넣지 않아 '저/나' 선택이 위반을 더하지 않게 함"
"E4","09","b2","","B2","control","화자는 대학원 석사과정 학생이다. 듣는 사람은 화자의 지도교수이고, 두 사람은 연구실에서 학위 논문 일정을 이야기하고 있다.","교수님, 논문 초안은 금요일까지 메일로 보낼게요.","보낼게요","","","","","적격","B2 적격 짝; 위반 행에서 종결 어미에 '-요'만 더함(보낼게요). 해요체로 청자 높임을 갖춰 적격"
"E4","10","b2","","B2","violation","화자는 대학교 2학년 학생이다. 듣는 사람은 화자가 듣는 교양 수업의 담당 교수이고, 두 사람은 수업이 끝난 뒤 강의실 앞에서 이야기하고 있다.","교수님, 지난주 결석 사유서는 학과 사무실에 냈어.","냈어","","","","","부적격(화용: 청자 높임 누락)","B2 화용 위반; 청자 교양 수업 담당 교수(교수), 해체. 위반 요소 종결 어미 화계(해체 냈어→해요체 냈어요). 근거: 청자가 화자보다 확실히 윗사람이고 친족·친구가 아니므로 해체는 청자 높임 누락. 문장 형태 자체는 적격이며 청자가 주어가 아니어서 -시- 필요 없음. 인칭 대명사를 넣지 않아 '저/나' 선택이 위반을 더하지 않게 함"
"E4","10","b2","","B2","control","화자는 대학교 2학년 학생이다. 듣는 사람은 화자가 듣는 교양 수업의 담당 교수이고, 두 사람은 수업이 끝난 뒤 강의실 앞에서 이야기하고 있다.","교수님, 지난주 결석 사유서는 학과 사무실에 냈어요.","냈어요","","","","","적격","B2 적격 짝; 위반 행에서 종결 어미에 '-요'만 더함(냈어요). 해요체로 청자 높임을 갖춰 적격"
"E4","11","b2","","B2","violation","화자는 화학과 3학년 학생이다. 듣는 사람은 화자가 듣는 실험 과목의 담당 교수이고, 화자는 실험 수업이 있는 날 아침에 교수에게 전화를 걸었다.","교수님, 아침부터 열이 나서 오늘 실험은 빠져야 할 것 같아.","같아","","","","","부적격(화용: 청자 높임 누락)","B2 화용 위반; 청자 실험 과목 담당 교수(교수), 해체. 위반 요소 종결 어미 화계(해체 같아→해요체 같아요). 근거: 청자가 화자보다 확실히 윗사람이고 친족·친구가 아니므로 해체는 청자 높임 누락. 문장 형태 자체는 적격이며 청자가 주어가 아니어서 -시- 필요 없음. 인칭 대명사를 넣지 않아 '저/나' 선택이 위반을 더하지 않게 함"
"E4","11","b2","","B2","control","화자는 화학과 3학년 학생이다. 듣는 사람은 화자가 듣는 실험 과목의 담당 교수이고, 화자는 실험 수업이 있는 날 아침에 교수에게 전화를 걸었다.","교수님, 아침부터 열이 나서 오늘 실험은 빠져야 할 것 같아요.","같아요","","","","","적격","B2 적격 짝; 위반 행에서 종결 어미에 '-요'만 더함(같아요). 해요체로 청자 높임을 갖춰 적격"
"E4","12","b2","","B2","violation","화자는 입사 1년 차 사원이다. 듣는 사람은 화자가 속한 팀의 팀장으로, 화자보다 열다섯 살 많다. 두 사람은 사무실에서 이야기하고 있다.","팀장님, 내일 회의 자료는 방금 공유 폴더에 올려 뒀어.","뒀어","","","","","부적격(화용: 청자 높임 누락)","B2 화용 위반; 청자 팀장(상사), 해체. 위반 요소 종결 어미 화계(해체 뒀어→해요체 뒀어요). 근거: 청자가 화자보다 확실히 윗사람이고 친족·친구가 아니므로 해체는 청자 높임 누락. 문장 형태 자체는 적격이며 청자가 주어가 아니어서 -시- 필요 없음. 인칭 대명사를 넣지 않아 '저/나' 선택이 위반을 더하지 않게 함"
"E4","12","b2","","B2","control","화자는 입사 1년 차 사원이다. 듣는 사람은 화자가 속한 팀의 팀장으로, 화자보다 열다섯 살 많다. 두 사람은 사무실에서 이야기하고 있다.","팀장님, 내일 회의 자료는 방금 공유 폴더에 올려 뒀어요.","뒀어요","","","","","적격","B2 적격 짝; 위반 행에서 종결 어미에 '-요'만 더함(뒀어요). 해요체로 청자 높임을 갖춰 적격"
"E4","13","b2","","B2","violation","화자는 회사의 대리다. 듣는 사람은 같은 부서의 부장으로, 화자의 직속 상사다. 화자는 거래처와 통화를 마친 뒤 부장에게 결과를 알리고 있다.","부장님, 거래처에서 납품 날짜를 다음 주로 미뤄 달래.","달래","","","","","부적격(화용: 청자 높임 누락)","B2 화용 위반; 청자 부장(상사), 해체. 위반 요소 종결 어미 화계(해체 달래→해요체 달래요). 근거: 청자가 화자보다 확실히 윗사람이고 친족·친구가 아니므로 해체는 청자 높임 누락. 문장 형태 자체는 적격이며 청자가 주어가 아니어서 -시- 필요 없음. 인칭 대명사를 넣지 않아 '저/나' 선택이 위반을 더하지 않게 함"
"E4","13","b2","","B2","control","화자는 회사의 대리다. 듣는 사람은 같은 부서의 부장으로, 화자의 직속 상사다. 화자는 거래처와 통화를 마친 뒤 부장에게 결과를 알리고 있다.","부장님, 거래처에서 납품 날짜를 다음 주로 미뤄 달래요.","달래요","","","","","적격","B2 적격 짝; 위반 행에서 종결 어미에 '-요'만 더함(달래요). 해요체로 청자 높임을 갖춰 적격"
"E4","14","b2","","B2","violation","화자는 동네 카페에서 주말 아르바이트를 하는 대학생이다. 듣는 사람은 카페 사장으로, 오십 대다. 화자는 가게 문을 열기 전에 재료를 확인하고 있다.","사장님, 냉장고에 우유가 다 떨어졌어.","떨어졌어","","","","","부적격(화용: 청자 높임 누락)","B2 화용 위반; 청자 아르바이트하는 카페의 사장(상사·고용주), 해체. 위반 요소 종결 어미 화계(해체 떨어졌어→해요체 떨어졌어요). 근거: 청자가 화자보다 확실히 윗사람이고 친족·친구가 아니므로 해체는 청자 높임 누락. 문장 형태 자체는 적격이며 청자가 주어가 아니어서 -시- 필요 없음. 인칭 대명사를 넣지 않아 '저/나' 선택이 위반을 더하지 않게 함"
"E4","14","b2","","B2","control","화자는 동네 카페에서 주말 아르바이트를 하는 대학생이다. 듣는 사람은 카페 사장으로, 오십 대다. 화자는 가게 문을 열기 전에 재료를 확인하고 있다.","사장님, 냉장고에 우유가 다 떨어졌어요.","떨어졌어요","","","","","적격","B2 적격 짝; 위반 행에서 종결 어미에 '-요'만 더함(떨어졌어요). 해요체로 청자 높임을 갖춰 적격"
"E4","15","b2","","B2","violation","화자는 대학생이다. 듣는 사람은 같은 층에 사는 일흔 살쯤 된 이웃 할머니다. 할머니 앞으로 온 택배가 아래층에 잘못 배달되어 있어서, 화자가 그것을 들고 찾아갔다.","할머니, 이 택배가 아래층에 잘못 가 있어서 들고 왔어.","왔어","","","","","부적격(화용: 청자 높임 누락)","B2 화용 위반; 청자 이웃 할머니(어른, 가족 아님), 해체. 위반 요소 종결 어미 화계(해체 왔어→해요체 왔어요). 근거: 청자가 화자보다 확실히 윗사람이고 친족·친구가 아니므로 해체는 청자 높임 누락. 문장 형태 자체는 적격이며 청자가 주어가 아니어서 -시- 필요 없음. 인칭 대명사를 넣지 않아 '저/나' 선택이 위반을 더하지 않게 함"
"E4","15","b2","","B2","control","화자는 대학생이다. 듣는 사람은 같은 층에 사는 일흔 살쯤 된 이웃 할머니다. 할머니 앞으로 온 택배가 아래층에 잘못 배달되어 있어서, 화자가 그것을 들고 찾아갔다.","할머니, 이 택배가 아래층에 잘못 가 있어서 들고 왔어요.","왔어요","","","","","적격","B2 적격 짝; 위반 행에서 종결 어미에 '-요'만 더함(왔어요). 해요체로 청자 높임을 갖춰 적격"
"E4","16","b2","","B2","violation","화자는 고등학생이다. 듣는 사람은 화자의 친구의 아버지로, 오십 대 중반이다. 화자가 친구 집에 놀러 갔는데, 친구의 아버지가 저녁을 먹고 가라고 권했다.","아저씨, 집에서 저녁 먹고 와서 배가 불러.","불러","","","","","부적격(화용: 청자 높임 누락)","B2 화용 위반; 청자 친구의 아버지(어른, 가족 아님), 해체. 위반 요소 종결 어미 화계(해체 불러→해요체 불러요). 근거: 청자가 화자보다 확실히 윗사람이고 친족·친구가 아니므로 해체는 청자 높임 누락. 문장 형태 자체는 적격이며 청자가 주어가 아니어서 -시- 필요 없음. 인칭 대명사를 넣지 않아 '저/나' 선택이 위반을 더하지 않게 함"
"E4","16","b2","","B2","control","화자는 고등학생이다. 듣는 사람은 화자의 친구의 아버지로, 오십 대 중반이다. 화자가 친구 집에 놀러 갔는데, 친구의 아버지가 저녁을 먹고 가라고 권했다.","아저씨, 집에서 저녁 먹고 와서 배가 불러요.","불러요","","","","","적격","B2 적격 짝; 위반 행에서 종결 어미에 '-요'만 더함(불러요). 해요체로 청자 높임을 갖춰 적격"
