"exp","set_id","cond","A_level","B_level","role","context","sentence","critical_region","cq_question","cq_options","cq_answer","list","norm_status","note"
"E1","03","c","A2","B1","target","화자는 스물한 살 대학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 사촌 동생(열일곱 살, 고등학교 2학년)이다.","지난주에 시에서 연 풍경 사진 공모전에서 대상을 받으셨어.","받으셨어","이야기 속 인물은 화자에게 어떤 사람입니까?","사촌 동생|전공 교수|조카|친구","사촌 동생","4","부적격: 비높임 대상 주어에 -시-","A1 유형 은사·교수(전공 교수) / A2 유형 조카·사촌 동생(사촌 동생); 서술어 받다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격)"
"E1","03","d","A2","B2","target","화자는 스물한 살 대학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 사촌 동생(열일곱 살, 고등학교 2학년)이다.","지난주에 시에서 연 풍경 사진 공모전에서 대상을 받았어.","받았어","이야기 속 인물은 화자에게 어떤 사람입니까?","사촌 동생|전공 교수|조카|친구","사촌 동생","1","적격: 비높임 대상 주어에 -시- 없음","A1 유형 은사·교수(전공 교수) / A2 유형 조카·사촌 동생(사촌 동생); 서술어 받다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격)"
"E1","04","a","A1","B1","target","화자는 스물네 살 대학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 옆집 할아버지(일흔세 살, 은퇴한 공무원)이다.","어제 놀이터 벤치에 떨어져 있던 지갑을 경비실에 맡기셨어.","맡기셨어","이야기 속 인물은 화자에게 어떤 사람입니까?","옆집 할아버지|옆집 아이|아랫집 아주머니|친구","옆집 할아버지","1","적격: 높임 대상 주어에 -시-","A1 유형 직장 상사·이웃 어른(옆집 할아버지) / A2 유형 어린 이웃(옆집 아이); 서술어 맡기다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 검수표시: c(열 살 아이가 지갑을 경비실에 맡김)는 어른스러운 선행이라 장난스러운 격상으로 읽힐 여지가 약하게 있음"
"E1","04","b","A1","B2","target","화자는 스물네 살 대학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 옆집 할아버지(일흔세 살, 은퇴한 공무원)이다.","어제 놀이터 벤치에 떨어져 있던 지갑을 경비실에 맡겼어.","맡겼어","이야기 속 인물은 화자에게 어떤 사람입니까?","옆집 할아버지|옆집 아이|아랫집 아주머니|친구","옆집 할아버지","2","덜 선호: 높임 대상 주어에 -시- 생략(구어에서 흔함)","A1 유형 직장 상사·이웃 어른(옆집 할아버지) / A2 유형 어린 이웃(옆집 아이); 서술어 맡기다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 검수표시: c(열 살 아이가 지갑을 경비실에 맡김)는 어른스러운 선행이라 장난스러운 격상으로 읽힐 여지가 약하게 있음"
"E1","04","c","A2","B1","target","화자는 스물네 살 대학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 옆집 아이(열 살, 초등학교 3학년)이다.","어제 놀이터 벤치에 떨어져 있던 지갑을 경비실에 맡기셨어.","맡기셨어","이야기 속 인물은 화자에게 어떤 사람입니까?","옆집 아이|옆집 할아버지|윗집 아이|친구","옆집 아이","3","부적격: 비높임 대상 주어에 -시-","A1 유형 직장 상사·이웃 어른(옆집 할아버지) / A2 유형 어린 이웃(옆집 아이); 서술어 맡기다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 검수표시: c(열 살 아이가 지갑을 경비실에 맡김)는 어른스러운 선행이라 장난스러운 격상으로 읽힐 여지가 약하게 있음"
"E1","04","d","A2","B2","target","화자는 스물네 살 대학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 옆집 아이(열 살, 초등학교 3학년)이다.","어제 놀이터 벤치에 떨어져 있던 지갑을 경비실에 맡겼어.","맡겼어","이야기 속 인물은 화자에게 어떤 사람입니까?","옆집 아이|옆집 할아버지|윗집 아이|친구","옆집 아이","4","적격: 비높임 대상 주어에 -시- 없음","A1 유형 직장 상사·이웃 어른(옆집 할아버지) / A2 유형 어린 이웃(옆집 아이); 서술어 맡기다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 검수표시: c(열 살 아이가 지갑을 경비실에 맡김)는 어른스러운 선행이라 장난스러운 격상으로 읽힐 여지가 약하게 있음"
"E1","05","a","A1","B1","target","화자는 스물다섯 살 회사원이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 어머니(쉰세 살, 초등학교 교사)이다.","요즘 주말마다 집 근처 강변 공원에서 두 시간씩 자전거를 타셔.","타셔","이야기 속 인물은 화자에게 어떤 사람입니까?","어머니|여동생|아버지|친구","어머니","4","적격: 높임 대상 주어에 -시-","A1 유형 부모·친척 어른(어머니) / A2 유형 동생(여동생); 서술어 타다(현재); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 인간검수필요: 부모 세트. 『표준 언어 예절』(2011) 154쪽은 남에게 부모를 말할 때 낮추는 것을 전통 어법에 어긋난다고 하여 b가 규범상 '덜 선호'보다 무거울 수 있으나, 20대가 친구에게 부모 이야기를 할 때는 -시- 생략이 매우 흔함(규범·사용 괴리, 세대 차 예상) — b 수용성 천장 여부와 판정 표현을 인간 검수자가 확인"
"E1","05","b","A1","B2","target","화자는 스물다섯 살 회사원이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 어머니(쉰세 살, 초등학교 교사)이다.","요즘 주말마다 집 근처 강변 공원에서 두 시간씩 자전거를 타.","타","이야기 속 인물은 화자에게 어떤 사람입니까?","어머니|여동생|아버지|친구","어머니","1","덜 선호: 높임 대상 주어에 -시- 생략(구어에서 흔함)","A1 유형 부모·친척 어른(어머니) / A2 유형 동생(여동생); 서술어 타다(현재); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 인간검수필요: 부모 세트. 『표준 언어 예절』(2011) 154쪽은 남에게 부모를 말할 때 낮추는 것을 전통 어법에 어긋난다고 하여 b가 규범상 '덜 선호'보다 무거울 수 있으나, 20대가 친구에게 부모 이야기를 할 때는 -시- 생략이 매우 흔함(규범·사용 괴리, 세대 차 예상) — b 수용성 천장 여부와 판정 표현을 인간 검수자가 확인"
"E1","05","c","A2","B1","target","화자는 스물다섯 살 회사원이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 여동생(스무 살, 대학교 2학년)이다.","요즘 주말마다 집 근처 강변 공원에서 두 시간씩 자전거를 타셔.","타셔","이야기 속 인물은 화자에게 어떤 사람입니까?","여동생|어머니|남동생|친구","여동생","2","부적격: 비높임 대상 주어에 -시-","A1 유형 부모·친척 어른(어머니) / A2 유형 동생(여동생); 서술어 타다(현재); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 인간검수필요: 부모 세트. 『표준 언어 예절』(2011) 154쪽은 남에게 부모를 말할 때 낮추는 것을 전통 어법에 어긋난다고 하여 b가 규범상 '덜 선호'보다 무거울 수 있으나, 20대가 친구에게 부모 이야기를 할 때는 -시- 생략이 매우 흔함(규범·사용 괴리, 세대 차 예상) — b 수용성 천장 여부와 판정 표현을 인간 검수자가 확인"
"E1","05","d","A2","B2","target","화자는 스물다섯 살 회사원이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 여동생(스무 살, 대학교 2학년)이다.","요즘 주말마다 집 근처 강변 공원에서 두 시간씩 자전거를 타.","타","이야기 속 인물은 화자에게 어떤 사람입니까?","여동생|어머니|남동생|친구","여동생","3","적격: 비높임 대상 주어에 -시- 없음","A1 유형 부모·친척 어른(어머니) / A2 유형 동생(여동생); 서술어 타다(현재); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 인간검수필요: 부모 세트. 『표준 언어 예절』(2011) 154쪽은 남에게 부모를 말할 때 낮추는 것을 전통 어법에 어긋난다고 하여 b가 규범상 '덜 선호'보다 무거울 수 있으나, 20대가 친구에게 부모 이야기를 할 때는 -시- 생략이 매우 흔함(규범·사용 괴리, 세대 차 예상) — b 수용성 천장 여부와 판정 표현을 인간 검수자가 확인"
"E1","06","a","A1","B1","target","화자는 스물일곱 살 회사원이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 고등학교 은사(예순 살, 올해 교직에서 은퇴했다)이다.","다음 달에 남해 바닷가 근처에 있는 작은 주택으로 이사하실 거야.","이사하실","이야기 속 인물은 화자에게 어떤 사람입니까?","고등학교 은사|고등학교 후배|지도 교수|친구","고등학교 은사","3","적격: 높임 대상 주어에 -시-","A1 유형 은사·교수(고등학교 은사) / A2 유형 후배(고등학교 후배); 서술어 이사하다(미래 -ㄹ 거야); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격)"
"E1","06","b","A1","B2","target","화자는 스물일곱 살 회사원이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 고등학교 은사(예순 살, 올해 교직에서 은퇴했다)이다.","다음 달에 남해 바닷가 근처에 있는 작은 주택으로 이사할 거야.","이사할","이야기 속 인물은 화자에게 어떤 사람입니까?","고등학교 은사|고등학교 후배|지도 교수|친구","고등학교 은사","4","덜 선호: 높임 대상 주어에 -시- 생략(구어에서 흔함)","A1 유형 은사·교수(고등학교 은사) / A2 유형 후배(고등학교 후배); 서술어 이사하다(미래 -ㄹ 거야); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격)"
"E1","06","c","A2","B1","target","화자는 스물일곱 살 회사원이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 고등학교 후배(스물다섯 살, 프리랜서 디자이너)이다.","다음 달에 남해 바닷가 근처에 있는 작은 주택으로 이사하실 거야.","이사하실","이야기 속 인물은 화자에게 어떤 사람입니까?","고등학교 후배|고등학교 은사|과 후배|친구","고등학교 후배","1","부적격: 비높임 대상 주어에 -시-","A1 유형 은사·교수(고등학교 은사) / A2 유형 후배(고등학교 후배); 서술어 이사하다(미래 -ㄹ 거야); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격)"
"E1","06","d","A2","B2","target","화자는 스물일곱 살 회사원이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 고등학교 후배(스물다섯 살, 프리랜서 디자이너)이다.","다음 달에 남해 바닷가 근처에 있는 작은 주택으로 이사할 거야.","이사할","이야기 속 인물은 화자에게 어떤 사람입니까?","고등학교 후배|고등학교 은사|과 후배|친구","고등학교 후배","2","적격: 비높임 대상 주어에 -시- 없음","A1 유형 은사·교수(고등학교 은사) / A2 유형 후배(고등학교 후배); 서술어 이사하다(미래 -ㄹ 거야); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격)"
"E1","07","a","A1","B1","target","화자는 스물다섯 살 회사원이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 아랫집 아주머니(쉰한 살, 동네에서 꽃집을 한다)이다.","지난주 토요일에 아파트 주민 음악회에서 첫 순서로 피아노를 연주하셨어.","연주하셨어","이야기 속 인물은 화자에게 어떤 사람입니까?","아랫집 아주머니|윗집 초등학생|옆집 할아버지|친구","아랫집 아주머니","2","적격: 높임 대상 주어에 -시-","A1 유형 직장 상사·이웃 어른(아랫집 아주머니) / A2 유형 어린 이웃(윗집 초등학생); 서술어 연주하다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 검수표시: c(초등학생이 음악회 첫 순서로 연주)는 장난스러운 격상으로 읽힐 여지가 약하게 있음"
"E1","07","b","A1","B2","target","화자는 스물다섯 살 회사원이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 아랫집 아주머니(쉰한 살, 동네에서 꽃집을 한다)이다.","지난주 토요일에 아파트 주민 음악회에서 첫 순서로 피아노를 연주했어.","연주했어","이야기 속 인물은 화자에게 어떤 사람입니까?","아랫집 아주머니|윗집 초등학생|옆집 할아버지|친구","아랫집 아주머니","3","덜 선호: 높임 대상 주어에 -시- 생략(구어에서 흔함)","A1 유형 직장 상사·이웃 어른(아랫집 아주머니) / A2 유형 어린 이웃(윗집 초등학생); 서술어 연주하다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 검수표시: c(초등학생이 음악회 첫 순서로 연주)는 장난스러운 격상으로 읽힐 여지가 약하게 있음"
"E1","07","c","A2","B1","target","화자는 스물다섯 살 회사원이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 윗집 초등학생(열두 살, 초등학교 5학년)이다.","지난주 토요일에 아파트 주민 음악회에서 첫 순서로 피아노를 연주하셨어.","연주하셨어","이야기 속 인물은 화자에게 어떤 사람입니까?","윗집 초등학생|아랫집 아주머니|옆집 중학생|친구","윗집 초등학생","4","부적격: 비높임 대상 주어에 -시-","A1 유형 직장 상사·이웃 어른(아랫집 아주머니) / A2 유형 어린 이웃(윗집 초등학생); 서술어 연주하다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 검수표시: c(초등학생이 음악회 첫 순서로 연주)는 장난스러운 격상으로 읽힐 여지가 약하게 있음"
"E1","07","d","A2","B2","target","화자는 스물다섯 살 회사원이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 윗집 초등학생(열두 살, 초등학교 5학년)이다.","지난주 토요일에 아파트 주민 음악회에서 첫 순서로 피아노를 연주했어.","연주했어","이야기 속 인물은 화자에게 어떤 사람입니까?","윗집 초등학생|아랫집 아주머니|옆집 중학생|친구","윗집 초등학생","1","적격: 비높임 대상 주어에 -시- 없음","A1 유형 직장 상사·이웃 어른(아랫집 아주머니) / A2 유형 어린 이웃(윗집 초등학생); 서술어 연주하다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 검수표시: c(초등학생이 음악회 첫 순서로 연주)는 장난스러운 격상으로 읽힐 여지가 약하게 있음"
"E1","08","a","A1","B1","target","화자는 스물일곱 살 직장인이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 할아버지(일흔여섯 살, 은퇴한 뒤 시골에서 지낸다)이다.","지난주부터 스마트폰으로 영어 단어를 하루에 열 개씩 외우기 시작하셨어.","시작하셨어","이야기 속 인물은 화자에게 어떤 사람입니까?","할아버지|조카|할머니|친구","할아버지","1","적격: 높임 대상 주어에 -시-","A1 유형 조부모(할아버지) / A2 유형 조카·사촌 동생(조카); 서술어 시작하다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 검수표시: c(열 살 조카가 영어 단어 외우기 시작)는 장난스러운 격상으로 읽힐 여지가 약하게 있음"
"E1","08","b","A1","B2","target","화자는 스물일곱 살 직장인이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 할아버지(일흔여섯 살, 은퇴한 뒤 시골에서 지낸다)이다.","지난주부터 스마트폰으로 영어 단어를 하루에 열 개씩 외우기 시작했어.","시작했어","이야기 속 인물은 화자에게 어떤 사람입니까?","할아버지|조카|할머니|친구","할아버지","2","덜 선호: 높임 대상 주어에 -시- 생략(구어에서 흔함)","A1 유형 조부모(할아버지) / A2 유형 조카·사촌 동생(조카); 서술어 시작하다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 검수표시: c(열 살 조카가 영어 단어 외우기 시작)는 장난스러운 격상으로 읽힐 여지가 약하게 있음"
"E1","08","c","A2","B1","target","화자는 스물일곱 살 직장인이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 조카(열 살, 초등학교 3학년)이다.","지난주부터 스마트폰으로 영어 단어를 하루에 열 개씩 외우기 시작하셨어.","시작하셨어","이야기 속 인물은 화자에게 어떤 사람입니까?","조카|할아버지|사촌 동생|친구","조카","3","부적격: 비높임 대상 주어에 -시-","A1 유형 조부모(할아버지) / A2 유형 조카·사촌 동생(조카); 서술어 시작하다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 검수표시: c(열 살 조카가 영어 단어 외우기 시작)는 장난스러운 격상으로 읽힐 여지가 약하게 있음"
"E1","08","d","A2","B2","target","화자는 스물일곱 살 직장인이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 조카(열 살, 초등학교 3학년)이다.","지난주부터 스마트폰으로 영어 단어를 하루에 열 개씩 외우기 시작했어.","시작했어","이야기 속 인물은 화자에게 어떤 사람입니까?","조카|할아버지|사촌 동생|친구","조카","4","적격: 비높임 대상 주어에 -시- 없음","A1 유형 조부모(할아버지) / A2 유형 조카·사촌 동생(조카); 서술어 시작하다(과거); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격) | 검수표시: c(열 살 조카가 영어 단어 외우기 시작)는 장난스러운 격상으로 읽힐 여지가 약하게 있음"
"E1","09","a","A1","B1","target","화자는 대학교 4학년 학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 지도 교수(쉰한 살, 화자의 졸업 논문을 지도한다)이다.","이번 학기부터 매일 학교까지 지하철 대신 자전거로 다니셔.","다니셔","이야기 속 인물은 화자에게 어떤 사람입니까?","지도 교수|여동생|고등학교 은사|친구","지도 교수","4","적격: 높임 대상 주어에 -시-","A1 유형 은사·교수(지도 교수) / A2 유형 동생(여동생); 서술어 다니다(현재); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격)"
"E1","09","b","A1","B2","target","화자는 대학교 4학년 학생이고, 지금 친구와 이야기하고 있다. 이야기 속 인물은 화자의 지도 교수(쉰한 살, 화자의 졸업 논문을 지도한다)이다.","이번 학기부터 매일 학교까지 지하철 대신 자전거로 다녀.","다녀","이야기 속 인물은 화자에게 어떤 사람입니까?","지도 교수|여동생|고등학교 은사|친구","지도 교수","1","덜 선호: 높임 대상 주어에 -시- 생략(구어에서 흔함)","A1 유형 은사·교수(지도 교수) / A2 유형 동생(여동생); 서술어 다니다(현재); 규범 근거 표준 언어 예절(2011) 주체 높임 원칙 | P4-03 검수: 판정 유지(a 적격·b 덜 선호·c 부적격·d 적격)"
